https://igo04931.sprint.dynatracelabs.com
Host,Entity Id,Path,Size,AvailableForAnalysis
AccAzureClAG01.oep04he302lupe5xxl50ofnudd.ax.internal.cloudapp.net,HOST-BFDE4980994CA636,/var/log/syslog,6852,True
AccAzureClAG02.oep04he302lupe5xxl50ofnudd.ax.internal.cloudapp.net,HOST-7C01FAE548FE6A4C,/var/log/syslog,7233,True
AccAzureClAG03.oep04he302lupe5xxl50ofnudd.ax.internal.cloudapp.net,HOST-D8802DE5E97674A1,/var/log/syslog,6846,True
AccAzureClAG04.oep04he302lupe5xxl50ofnudd.ax.internal.cloudapp.net,HOST-D4868F45E35DDB4F,/var/log/syslog,5937,True
ActiveGate 1 (AT Infrastructure),HOST-53FEBA3C8F2FBFF0,/var/log/messages,1788,True
ActiveGate 1 (AT Infrastructure),HOST-53FEBA3C8F2FBFF0,/var/log/syslog,360758,True
Cl-ATExploratory-AcceptanceTeamExploratory Node-1,HOST-00E42181D3F33A39,/var/log/messages,4560045,True
Cl-ATExploratory-AcceptanceTeamExploratory Node-2,HOST-E347F72FE2B78509,/var/log/messages,4184499,True
Cl-ATExploratory-AcceptanceTeamExploratory PSG-1,HOST-441C7F41072A55E9,/var/log/syslog,396118,True
Cl-Azure-AcceptanceTeam Node-4,HOST-B08B5490FC3B720C,/var/log/messages,3732380,True
Cl-Azure-AcceptanceTeam Node-5,HOST-6731392F4DC7E54D,/var/log/messages,3766981,True
Cl-Azure-AcceptanceTeam Node-6,HOST-6D60EF9D3ABBB829,/var/log/messages,3816438,True
Cl-Azure-AcceptanceTeam nfs server,HOST-558232BFE57451E5,/var/log/syslog,28549,True
Cl-EC2-AcceptanceTeam Node-1,HOST-C4288427059A6B11,/var/log/syslog,28052,True
Cl-EC2-AcceptanceTeam Node-2,HOST-2E094A4EE4FB5939,/var/log/syslog,28904,True
Cl-Offline-mode-AcceptanceTeam Node-1,HOST-D12D3DD538641990,/var/log/syslog,41178,True
Cl-Offline-mode-AcceptanceTeam Node-2,HOST-4628BB4DED2DFF3C,/var/log/syslog,30806,True
Cl-Permanent247-AcceptanceTeam Cluster AG,HOST-3E979808422AD5EA,Windows Application Log,1118208,True
Cl-Permanent247-AcceptanceTeam Cluster AG,HOST-3E979808422AD5EA,Windows System Log,1118208,True
Cl-Permanent247-AcceptanceTeam Cluster AG,HOST-3E979808422AD5EA,Windows Security Log,20975616,True
Cl-Permanent247-AcceptanceTeam Node-1,HOST-7C47BA34B5285EE6,/var/log/messages,3751042,True
Cl-Permanent247-AcceptanceTeam Node-2,HOST-78D7EFD2A690F5EA,/var/log/messages,3802226,True
Cl-Permanent247-AcceptanceTeam nfs server,HOST-E73C499042AF3D47,/var/log/messages,177620,True
Cl-SprintMon-_DynatraceMonitoringForSprint Node-1,HOST-7DCD08E4F9EB5B1E,/var/log/syslog,3384,True
Cl-SprintMon-_DynatraceMonitoringForSprint Node-2,HOST-20E51BAB5B72F33D,/var/log/syslog,2729,True
Cl-SprintMon-_DynatraceMonitoringForSprint Node-3,HOST-FE7C628C765DD30E,/var/log/syslog,4863,True
Cl-SprintMon-_DynatraceMonitoringForSprint Node-4,HOST-320E4C0D5ECC0E33,/var/log/syslog,23375,True
